time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-24T21:22:35.300Z,19.4045,-155.2823,7.6,2,Ml,,21.6,0.00898315,0.23,hv,hv60858971,2015-02-24T21:28:46.169Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T21:11:20.300Z,41.8782,-119.6505,6.1248,1.59,ml,4,219.9,0.132,0.1139,nn,nn00484496,2015-02-24T22:20:56.549Z,"67km ESE of Lakeview, Oregon",earthquake
2015-02-24T20:58:43.380Z,33.5085,-116.5051667,15,0,ml,10,224,0.05342,0.08,ci,ci37101807,2015-02-24T23:19:47.787Z,"16km ESE of Anza, California",earthquake
2015-02-24T20:52:14.650Z,36.0581667,-117.6013333,2.16,0.6,ml,15,102,0.09102,0.12,ci,ci37101799,2015-02-24T21:25:04.253Z,"31km ENE of Little Lake, California",earthquake
2015-02-24T20:46:44.000Z,61.7714,-152.0319,113.7,2.4,ml,,,,0.58,ak,ak11517195,2015-02-24T21:40:22.997Z,"105km W of Willow, Alaska",earthquake
2015-02-24T20:26:27.910Z,38.7900009,-122.7783356,3.06,0.44,md,13,92,0.008133,0.03,nc,nc72400940,2015-02-24T20:46:05.583Z,"2km NW of The Geysers, California",earthquake
2015-02-24T20:22:16.000Z,65.3517,-145.0969,3.5,1.4,ml,,,,0.86,ak,ak11517193,2015-02-24T21:40:22.287Z,"23km SW of Circle Hot Springs Station, Alaska",earthquake
2015-02-24T20:19:18.700Z,19.412,-155.2823,9,1.7,Ml,,25.2,0,0.17,hv,hv60858941,2015-02-24T20:25:07.939Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T20:17:14.630Z,36.0685,-117.6853333,1.1,1.29,ml,19,76,0.07786,0.3,ci,ci37101719,2015-02-24T20:21:00.344Z,"24km E of Coso Junction, California",earthquake
2015-02-24T20:01:11.180Z,38.8404999,-122.8288345,1.78,1.55,md,13,57,0.005535,0.02,nc,nc72400925,2015-02-24T23:55:04.903Z,"9km WNW of Cobb, California",earthquake
2015-02-24T19:53:45.700Z,19.4115,-155.2852,7,1.9,Ml,,28.8,0,0.22,hv,hv60858906,2015-02-24T19:59:37.749Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T19:35:07.160Z,34.0746667,-117.8651667,0.76,1.54,ml,18,165,0.05115,0.26,ci,ci37101655,2015-02-24T19:39:15.797Z,"3km SE of Covina, California",earthquake
2015-02-24T19:22:15.300Z,19.4018,-155.284,6.1,1.9,ml,,21.5999982720001,0.008983153,0.22,hv,hv60858871,2015-02-24T19:28:03.000Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T19:13:29.680Z,38.8143349,-122.8170013,2.97,0.5,md,10,62,0.01054,0.01,nc,nc72400910,2015-02-24T19:50:04.530Z,"6km NW of The Geysers, California",earthquake
2015-02-24T19:12:00.830Z,40.418,-121.4545,8.36,0.29,md,7,139,0.03211,0.03,nc,nc72400915,2015-02-24T20:01:07.400Z,"22km WNW of Chester, California",earthquake
2015-02-24T19:11:40.760Z,-35.4454,-70.2726,170.55,4.3,mb,,90,0.773,1.08,us,usc000tsup,2015-02-24T19:39:08.322Z,"62km W of Malargue, Argentina",earthquake
2015-02-24T19:09:23.000Z,59.6966,-152.3945,19.9,1.4,ml,,,,0.48,ak,ak11517075,2015-02-24T20:54:27.514Z,"32km WSW of Anchor Point, Alaska",earthquake
2015-02-24T19:07:42.700Z,19.4052,-155.286,1.4,2,Ml,,68.4,0.00898315,0.26,hv,hv60858866,2015-02-24T19:13:31.287Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T19:03:07.000Z,64.3413,-146.8422,10.2,1.5,ml,,,,0.47,ak,ak11517072,2015-02-24T19:37:36.611Z,"20km S of Salcha, Alaska",earthquake
2015-02-24T18:54:32.300Z,19.4085,-155.2875,5.6,1.9,Md,,32.4,0.00898315,0.18,hv,hv60858846,2015-02-24T18:57:56.135Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T18:44:54.420Z,40.4488333,-121.541,5.26,1.24,md,7,113,0.0233,0.04,nc,nc72400905,2015-02-24T23:32:02.288Z,"29km E of Shingletown, California",earthquake
2015-02-24T18:30:10.130Z,36.5801,-97.6409,3.43,3.3,mb_lg,,23,0.389,0.6,us,usc000tsu7,2015-02-24T21:20:01.570Z,"26km SSE of Medford, Oklahoma",earthquake
2015-02-24T18:29:38.200Z,18.2509,-64.2198,41,2.4,Md,3,327.6,0.41053008,0.1,pr,pr15055009,2015-02-24T19:36:24.200Z,"45km ESE of Road Town, British Virgin Islands",earthquake
2015-02-24T18:14:23.210Z,33.8968333,-116.9308333,12,2.05,ml,80,28,0.04808,0.25,ci,ci37101543,2015-02-24T18:25:49.780Z,"6km SE of Beaumont, California",earthquake
2015-02-24T18:12:02.700Z,19.4042,-155.2797,1.5,1.9,Ml,,39.6,0.00898315,0.12,hv,hv60858801,2015-02-24T18:17:53.814Z,"5km SW of Volcano, Hawaii",earthquake
2015-02-24T18:02:39.620Z,34.1515,-117.5761667,9.98,2.44,ml,90,25,0.05984,0.29,ci,ci37101519,2015-02-24T18:22:57.125Z,"3km N of Rancho Cucamonga, California",earthquake
2015-02-24T17:55:33.890Z,38.8161659,-122.81633,2.68,1.38,md,31,45,0.0124,0.04,nc,nc72400855,2015-02-24T21:05:05.869Z,"6km NW of The Geysers, California",earthquake
2015-02-24T17:33:16.950Z,33.2855,-115.7913333,1.59,1.1,ml,18,142,0.08274,0.25,ci,ci37101487,2015-02-24T17:37:03.913Z,"9km SW of Bombay Beach, California",earthquake
2015-02-24T17:25:12.170Z,33.9545,-116.9973333,16.36,0.85,ml,18,113,0.1478,0.36,ci,ci37101479,2015-02-24T17:29:08.987Z,"3km NNW of Beaumont, California",earthquake
2015-02-24T17:22:40.000Z,60.2648,-149.9024,50.1,1.4,ml,,,,0.17,ak,ak11516989,2015-02-24T18:50:31.358Z,"30km WNW of Bear Creek, Alaska",earthquake
2015-02-24T17:15:30.000Z,19.3483,-155.019,1,1.4,Md,,198,0.07186522,0.15,hv,hv60858766,2015-02-24T23:57:10.594Z,"16km SW of Leilani Estates, Hawaii",earthquake
2015-02-24T17:07:01.400Z,19.411,-155.2793,9.4,1.9,Ml,,46.8,0,0.1,hv,hv60858761,2015-02-24T18:26:38.901Z,"4km WSW of Volcano, Hawaii",earthquake
2015-02-24T16:48:24.184Z,41.8867,-119.6706,11.9845,1.29,ml,4,218,0.115,0.1836,nn,nn00484454,2015-02-24T18:32:00.432Z,"65km ESE of Lakeview, Oregon",earthquake
2015-02-24T16:43:10.000Z,63.028,-148.908,79.8,0.8,ml,,,,0.33,ak,ak11516872,2015-02-24T17:41:54.686Z,"40km S of Cantwell, Alaska",earthquake
2015-02-24T16:39:37.400Z,19.4058,-155.2855,9.6,1.9,Ml,,39.6,0.01796631,0.14,hv,hv60858746,2015-02-24T18:31:44.953Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T16:36:44.020Z,-18.9044,169.2231,248.25,4.7,mb,,81,3.943,0.65,us,usc000tstj,2015-02-24T17:48:57.406Z,"71km N of Isangel, Vanuatu",earthquake
2015-02-24T16:29:27.550Z,38.8343315,-122.8034973,2.67,0.97,md,9,178,0.01105,0.01,nc,nc72400825,2015-02-24T18:25:06.021Z,"7km W of Cobb, California",earthquake
2015-02-24T16:24:08.000Z,63.5084,-147.2086,0,1.3,ml,,,,0.65,ak,ak11516831,2015-02-24T17:41:53.900Z,"87km E of Cantwell, Alaska",earthquake
2015-02-24T16:17:56.890Z,33.7046667,-116.7133333,20.29,0.95,ml,30,76,0.006521,0.2,ci,ci37101423,2015-02-24T18:43:04.058Z,"4km S of Idyllwild, California",earthquake
2015-02-24T16:17:40.700Z,19.3865,-155.312,15,1,Md,,126,0.00898315,0.18,hv,hv60858721,2015-02-24T18:20:18.836Z,"9km WSW of Volcano, Hawaii",earthquake
2015-02-24T16:14:48.810Z,33.9643333,-116.386,4.32,1.1,ml,39,58,0.03024,0.23,ci,ci37101415,2015-02-24T16:18:49.282Z,"11km E of Desert Hot Springs, California",earthquake
2015-02-24T16:08:34.830Z,36.6671677,-121.2910004,3.37,1.77,md,20,73,0.01423,0.06,nc,nc72400815,2015-02-24T19:08:03.267Z,"17km SSE of Ridgemark, California",earthquake
2015-02-24T15:46:19.100Z,38.8196678,-122.8431702,1.37,0.43,md,7,167,0.007231,0.01,nc,nc72400810,2015-02-24T17:27:06.693Z,"8km WNW of The Geysers, California",earthquake
2015-02-24T15:30:23.910Z,38.8204994,-122.7791672,1.4,0.69,md,8,140,0.007326,0.02,nc,nc72400805,2015-02-24T16:58:05.110Z,"4km W of Cobb, California",earthquake
2015-02-24T15:27:11.470Z,38.0075,-118.999,17.85,1.41,md,7,177,0.2498,0.08,nc,nc72400860,2015-02-24T22:30:06.805Z,"34km SE of Bridgeport, California",earthquake
2015-02-24T15:26:13.280Z,33.6615,-116.84,17.02,1.27,ml,47,53,0.03208,0.19,ci,ci37101375,2015-02-24T18:43:37.550Z,"11km SSE of Valle Vista, California",earthquake
2015-02-24T15:05:12.000Z,63.64,-149.6753,116.8,1.1,ml,,,,0.24,ak,ak11516827,2015-02-24T15:49:31.621Z,"42km SW of Healy, Alaska",earthquake
2015-02-24T15:04:24.600Z,19.4057,-155.2828,9.9,2.3,Md,,36,0.01796631,0.39,hv,hv60858681,2015-02-24T15:07:40.031Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T14:55:29.000Z,63.2365,-150.4659,127.5,2.3,ml,,,,0.39,ak,ak11516820,2015-02-24T15:49:28.879Z,"77km WSW of Cantwell, Alaska",earthquake
2015-02-24T14:52:53.900Z,19.4037,-155.2827,1.3,1.9,Ml,,21.6,0.00898315,0.11,hv,hv60858671,2015-02-24T17:36:52.493Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T14:38:19.670Z,33.411,-117.0281667,8.78,2.16,ml,77,72,0.0221,0.27,ci,ci37101343,2015-02-24T18:44:43.690Z,"7km NE of Pala, California",earthquake
2015-02-24T14:37:38.910Z,38.7911682,-122.7494965,2.67,0.72,md,11,76,0.01274,0.02,nc,nc72400770,2015-02-24T17:21:02.939Z,"1km NNE of The Geysers, California",earthquake
2015-02-24T14:37:11.200Z,19.4115,-155.2865,9.1,1.9,md,,21.5999982720001,0.008983153,0.29,hv,hv60858666,2015-02-24T14:40:20.000Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T14:32:56.304Z,39.3892,-120.1544,7.1195,0.66,ml,13,73.72,0.116,0.0811,nn,nn00484429,2015-02-24T17:17:40.578Z,"7km NNE of Truckee, California",earthquake
2015-02-24T14:30:24.610Z,36.5187,70.6804,200.1,4.5,mb,,72,2.382,0.73,us,usc000tsrr,2015-02-24T22:33:00.819Z,"40km SSW of Jarm, Afghanistan",earthquake
2015-02-24T14:18:26.830Z,41.7485,-71.8999,6.4,1.8,ml,,87,0.245,0.23,us,usc000tsrx,2015-02-24T22:12:32.040Z,"0km ENE of Wauregan, Connecticut",earthquake
2015-02-24T14:15:49.000Z,19.4033,-155.2758,9.7,2.2,Md,,36,0.00898315,0.28,hv,hv60858656,2015-02-24T14:19:04.617Z,"5km SW of Volcano, Hawaii",earthquake
2015-02-24T13:55:54.800Z,19.4108,-155.2868,9.2,1.8,Ml,,32.4,0.00898315,0.32,hv,hv60858641,2015-02-24T14:01:39.513Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T13:50:57.191Z,39.3384,-118.4754,7.9903,1.72,ml,5,242.99,0.691,0.0944,nn,nn00484439,2015-02-24T17:11:05.464Z,"30km ESE of Fallon, Nevada",earthquake
2015-02-24T13:36:36.500Z,19.4067,-155.2838,10.4,1.9,md,,39.5999968320002,0.01796631,0.32,hv,hv60858636,2015-02-24T13:40:00.000Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T13:28:09.310Z,46.8525,-121.7575,4.1,-0.34,md,8,91,0.02383,0.05,uw,uw60974671,2015-02-24T17:34:58.990Z,"28km NNW of Packwood, Washington",earthquake
2015-02-24T13:22:39.000Z,19.4063,-155.2773,8.9,1.9,Ml,,28.8,0.00898315,0.32,hv,hv60858631,2015-02-24T13:28:24.314Z,"4km WSW of Volcano, Hawaii",earthquake
2015-02-24T13:21:04.260Z,37.6336667,-119.4126667,6.24,1.31,md,15,73,0.2646,0.06,nc,nc72400835,2015-02-24T19:38:02.276Z,"18km SE of Yosemite Valley, California",earthquake
2015-02-24T13:16:31.810Z,38.7928352,-122.7584991,2.04,0.87,md,15,53,0.01953,0.03,nc,nc72400760,2015-02-24T17:21:02.747Z,"1km N of The Geysers, California",earthquake
2015-02-24T13:11:24.190Z,13.0136,51.1426,10,4.9,mb,,105,2.818,0.9,us,usc000tsrk,2015-02-24T21:13:59.888Z,"126km N of Bereeda, Somalia",earthquake
2015-02-24T13:07:49.800Z,19.4085,-155.2872,7.5,1.8,Md,,32.4,0.00898315,0.27,hv,hv60858626,2015-02-24T13:10:59.202Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T12:59:50.500Z,19.4083,-155.2835,9.7,1.8,Md,,39.6,0.00898315,0.25,hv,hv60858616,2015-02-24T13:03:09.030Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T12:42:21.000Z,61.4487,-147.1813,5.2,1.8,ml,,,,0.89,ak,ak11516782,2015-02-24T13:18:46.036Z,"57km NW of Valdez, Alaska",earthquake
2015-02-24T12:40:30.100Z,19.4135,-155.2845,9.3,1.9,Ml,,28.8,0,0.28,hv,hv60858596,2015-02-24T20:42:57.732Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T12:31:50.130Z,38.7703323,-122.7184982,2.45,0.97,md,9,132,0.00309,0.02,nc,nc72400750,2015-02-24T13:08:02.255Z,"3km ESE of The Geysers, California",earthquake
2015-02-24T12:31:21.000Z,65.5398,-147.9944,8.1,1.4,ml,,,,0.77,ak,ak11516780,2015-02-24T13:18:45.356Z,"76km N of College, Alaska",earthquake
2015-02-24T12:22:45.570Z,33.4081667,-116.5578333,22.35,0.73,ml,11,133,0.0565,0.13,ci,ci37101303,2015-02-24T12:26:43.473Z,"16km NNE of Warner Springs, California",earthquake
2015-02-24T12:17:49.377Z,41.8647,-119.645,8.8744,1.83,ml,5,222.25,0.143,0.1446,nn,nn00484424,2015-02-24T17:08:20.900Z,"71km SE of Lakeview, Oregon",earthquake
2015-02-24T12:16:50.100Z,19.4098,-155.2687,11.3,2.1,Ml,,46.8,0.00898315,0.33,hv,hv60858571,2015-02-24T12:22:33.422Z,"3km SW of Volcano, Hawaii",earthquake
2015-02-24T12:03:35.600Z,19.4045,-155.2768,1.3,1.8,Ml,,36,0.00898315,0.1,hv,hv60858566,2015-02-24T18:21:53.861Z,"5km SW of Volcano, Hawaii",earthquake
2015-02-24T12:00:59.800Z,19.371,-155.2805,2.5,2.1,Ml,,61.2,0.01796631,0.12,hv,hv60858561,2015-02-24T19:27:12.438Z,"7km SW of Volcano, Hawaii",earthquake
2015-02-24T11:56:12.490Z,38.8161659,-122.8164978,2.65,0.55,md,9,81,0.0123,0.01,nc,nc72400725,2015-02-24T15:55:03.700Z,"6km NW of The Geysers, California",earthquake
2015-02-24T11:44:36.000Z,61.4177,-149.3718,24.4,1.1,ml,,,,0.21,ak,ak11516776,2015-02-24T12:21:43.770Z,"16km SE of Knik-Fairview, Alaska",earthquake
2015-02-24T11:35:17.600Z,19.1807,-67.1187,85,2.9,Md,5,306,0.70966907,0.02,pr,pr15055008,2015-02-24T19:37:54.564Z,"75km N of Isabela, Puerto Rico",earthquake
2015-02-24T11:24:27.000Z,64.7673,-149.2372,17.7,0.7,ml,,,,0.28,ak,ak11516774,2015-02-24T12:21:45.083Z,"21km NNW of North Nenana, Alaska",earthquake
2015-02-24T11:20:33.140Z,41.8608,-119.6267,3.827,1.31,ml,5,223.27,0.156,0.186,nn,nn00484423,2015-02-24T12:32:13.161Z,"69km ESE of Lakeview, Oregon",earthquake
2015-02-24T11:13:50.960Z,38.8143349,-122.7419968,2.01,1.32,md,17,64,0.005203,0.03,nc,nc72400720,2015-02-24T14:04:16.374Z,"1km WSW of Cobb, California",earthquake
2015-02-24T11:13:44.000Z,61.8099,-149.6982,19.8,1.2,ml,,,,0.55,ak,ak11516771,2015-02-24T12:21:44.411Z,"19km ENE of Willow, Alaska",earthquake
2015-02-24T11:13:11.548Z,41.8726,-119.6364,7.8443,0.59,ml,4,221.14,0.143,0.1337,nn,nn00484473,2015-02-24T20:05:35.943Z,"68km ESE of Lakeview, Oregon",earthquake
2015-02-24T11:12:24.800Z,19.3727,-155.288,0.8,1.4,Md,,54,0.01796631,0.18,hv,hv60858536,2015-02-25T00:14:30.763Z,"8km SW of Volcano, Hawaii",earthquake
2015-02-24T10:52:15.820Z,41.8544,-119.6342,7.8058,0.93,ml,5,224.15,0.156,0.1662,nn,nn00484464,2015-02-24T19:15:45.267Z,"69km ESE of Lakeview, Oregon",earthquake
2015-02-24T10:51:16.000Z,19.4202,-155.2745,10.2,1.9,Md,,43.2,0.00898315,0.21,hv,hv60858521,2015-02-24T10:54:41.746Z,"4km WSW of Volcano, Hawaii",earthquake
2015-02-24T10:49:55.000Z,19.397,-155.2742,11.8,1.9,Ml,,50.4,0,0.23,hv,hv60858516,2015-02-24T18:45:30.041Z,"5km SW of Volcano, Hawaii",earthquake
2015-02-24T10:45:55.400Z,38.8059998,-122.814003,3.77,0.53,md,10,82,0.0122,0.02,nc,nc72400710,2015-02-24T13:08:02.421Z,"5km WNW of The Geysers, California",earthquake
2015-02-24T10:41:34.040Z,33.6816667,-116.7778333,16.79,0.79,ml,30,44,0.06069,0.23,ci,ci37101287,2015-02-24T14:45:34.759Z,"8km SW of Idyllwild, California",earthquake
2015-02-24T10:34:48.000Z,61.0072,-150.9188,37.9,1.8,ml,,,,0.64,ak,ak11516739,2015-02-24T11:30:42.381Z,"40km NNE of Nikiski, Alaska",earthquake
2015-02-24T10:30:09.172Z,42.067,-119.7544,0,0.07,ml,3,177.5,0.112,0.0038,nn,nn00484472,2015-02-24T19:56:17.849Z,"50km ESE of Lakeview, Oregon",earthquake
2015-02-24T10:26:48.000Z,62.8064,-148.295,59.6,0.9,ml,,,,0.34,ak,ak11516737,2015-02-24T11:30:41.672Z,"73km SSE of Cantwell, Alaska",earthquake
2015-02-24T10:23:30.410Z,41.864,-119.6695,3.5593,1.03,ml,4,221.89,0.131,0.1628,nn,nn00484437,2015-02-24T16:51:18.799Z,"66km ESE of Lakeview, Oregon",earthquake
2015-02-24T10:23:01.050Z,12.9831,51.0677,10,5,mb,,96,2.885,0.68,us,usc000tspj,2015-02-24T18:25:32.265Z,"123km N of Bereeda, Somalia",earthquake
2015-02-24T09:49:41.250Z,38.9695015,-122.8598328,2.45,1.54,md,10,182,0.09665,0.09,nc,nc72400690,2015-02-24T12:36:05.772Z,"2km WSW of Kelseyville, California",earthquake
2015-02-24T09:41:11.900Z,38.8426666,-122.840332,2.49,0.28,md,7,96,0.005558,0.01,nc,nc72400680,2015-02-24T10:20:06.084Z,"10km WNW of Cobb, California",earthquake
2015-02-24T09:34:54.800Z,38.8404999,-122.8300018,2.02,0.56,md,10,72,0.004689,0.04,nc,nc72400670,2015-02-24T10:51:05.095Z,"9km WNW of Cobb, California",earthquake
2015-02-24T09:28:15.330Z,46.8475,-121.7668333,0.42,0.23,md,9,81,0.01824,0.06,uw,uw60974621,2015-02-24T17:00:03.620Z,"27km NNW of Packwood, Washington",earthquake
2015-02-24T09:25:58.210Z,38.8395004,-122.8293304,2.39,1.62,md,27,54,0.004893,0.03,nc,nc72400655,2015-02-24T11:37:05.900Z,"9km WNW of Cobb, California",earthquake
2015-02-24T09:25:54.160Z,38.8406677,-122.8290024,2.34,1.82,md,7,71,0.005473,0.01,nc,nc72400660,2015-02-24T12:07:04.488Z,"9km WNW of Cobb, California",earthquake
2015-02-24T09:12:20.900Z,19.4208,-155.6297,3.9,1.3,Md,,118.8,0.01796631,0.08,hv,hv60858411,2015-02-24T21:05:23.194Z,"24km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-02-24T09:06:06.600Z,19.3737,-155.2383,31.5,1.7,Ml,,50.4,0,0.21,hv,hv60858401,2015-02-24T09:11:50.637Z,"6km S of Volcano, Hawaii",earthquake
2015-02-24T09:05:44.320Z,33.6005,-116.783,19.07,0.52,ml,20,80,0.05178,0.26,ci,ci37101279,2015-02-24T14:45:51.785Z,"11km WNW of Anza, California",earthquake
2015-02-24T09:02:31.230Z,19.4156,-78.4014,10,4.2,mb,,89,1.319,1.31,us,usc000tspb,2015-02-24T17:05:01.997Z,"109km NNW of Lucea, Jamaica",earthquake
2015-02-24T08:59:03.820Z,38.838501,-122.829834,2.79,1.22,md,20,88,0.004416,0.02,nc,nc72400645,2015-02-24T11:08:04.689Z,"9km W of Cobb, California",earthquake
2015-02-24T08:51:31.000Z,65.1578,-149.094,3.7,1,ml,,,,0.39,ak,ak11516708,2015-02-24T09:45:19.486Z,"61km NW of Ester, Alaska",earthquake
2015-02-24T08:50:08.100Z,19.4122,-155.2727,11.1,1.7,Md,,39.6,0.00898315,0.29,hv,hv60858391,2015-02-24T08:53:14.215Z,"4km WSW of Volcano, Hawaii",earthquake
2015-02-24T08:48:05.000Z,59.9451,-152.3374,42.6,1.8,ml,,,,0.61,ak,ak11516706,2015-02-24T09:45:24.435Z,"34km NW of Anchor Point, Alaska",earthquake
2015-02-24T08:47:47.820Z,34.1593333,-116.7293333,1.1,0.94,ml,22,82,0.1381,0.26,ci,ci37101271,2015-02-24T14:45:55.484Z,"16km SE of Big Bear City, California",earthquake
2015-02-24T08:43:16.000Z,63.9437,-149.0749,0,1.5,ml,,,,0.78,ak,ak11516703,2015-02-24T09:45:23.709Z,"11km NNW of Healy, Alaska",earthquake
2015-02-24T08:28:11.000Z,18.2553,-67.8328,117,3,Md,7,331.2,0.71416065,0.21,pr,pr15055007,2015-02-24T16:30:42.369Z,"62km W of Rincon, Puerto Rico",earthquake
2015-02-24T08:28:10.389Z,37.1624,-117.2439,14.3762,0.97,ml,14,155.65,0.193,0.1426,nn,nn00484418,2015-02-24T16:44:51.947Z,"51km WNW of Beatty, Nevada",earthquake
2015-02-24T08:23:19.660Z,44.746,-111.1455,13.68,0.35,md,10,92,0.036,0.16,uu,uu60102802,2015-02-24T18:17:07.780Z,"9km NNW of West Yellowstone, Montana",earthquake
2015-02-24T08:21:42.330Z,33.4716667,-116.5733333,8.73,1.21,ml,49,66,0.03331,0.25,ci,ci37101263,2015-02-24T14:46:28.590Z,"13km SE of Anza, California",earthquake
2015-02-24T08:13:10.980Z,36.061,-117.5935,0.02,1.21,ml,22,79,0.08472,0.31,ci,ci37101255,2015-02-24T08:16:50.294Z,"31km ENE of Little Lake, California",earthquake
2015-02-24T08:07:26.010Z,36.0575,-117.6021667,1.1,1.26,ml,20,67,0.09169,0.26,ci,ci37101247,2015-02-24T14:46:36.060Z,"30km ENE of Little Lake, California",earthquake
